,Country.Name,Country.Code,Year,GDP per capita (current US$),Gini index,"Unemployment, total (% of total labor force) (national estimate)","Inflation, consumer prices (annual %)",Exports of goods and services (% of GDP),Gross capital formation (% of GDP),"Life expectancy at birth, total (years)","School enrollment, tertiary (% gross)",Current health expenditure per capita (current US$),Population growth (annual %),Access to electricity (% of population),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),Urban population (% of total population)
73,Indonesia,IDN,2014,3441.068085,38.8,4.049,6.394925408,23.6659846,34.60034391,69.533,30.52533913,103.0588379,1.175360912,97,17.1432,127.0667453,52.635
74,Indonesia,IDN,2015,3288.222697,38.2,4.514,6.363121131,21.16017926,34.06279218,69.699,33.03264999,97.16175842,1.122339818,97.5,22.0627,130.8216306,53.313
75,Indonesia,IDN,2016,3521.469435,36.9,4.301,3.525805157,19.08899385,33.8587393,69.798,35.47575378,107.5287094,1.0744882,97.6,25.4474,147.24962,53.989
76,Indonesia,IDN,2017,3798.883262,36.4,3.783,3.80879807,20.17730444,33.7105948,69.936,36.63386154,111.5139618,1.022329398,98.1,32.3358,164.5351584,54.659
77,Indonesia,IDN,2018,3860.953531,36.3,4.387,3.198346416,21.0027465,34.57058583,70.338,36.79545593,111.9118729,0.96974341,98.5,39.9046,119.6084851,55.325
78,Indonesia,IDN,2019,4106.948562,35.4,3.59,3.03058665,18.5915278,33.78014238,70.518,37.92596817,119.4984436,0.935604959,98.9,47.6906,126.5946679,55.985
79,Indonesia,IDN,2020,3853.702888,35.3,4.255,1.920968006,17.33116828,32.34341205,68.808,38.65038681,133.2563477,0.849801187,97,53.7265,130.8110952,56.641
80,Indonesia,IDN,2021,4287.17314,35.5,3.827,1.560129905,21.41655564,31.44887249,67.57,41.00220871,160.6417694,0.704601322,99.2,62.1045,133.6505363,57.29
81,Italy,ITA,2000,20190.00356,35.2,10.834,2.537685321,25.56119563,21.3236101,79.77804878,50.2729187,1524,0.045303631,100,23.1109,74.15950715,67.222
82,Italy,ITA,2002,22463.52221,34.7,9.211,2.465323192,24.31269482,22.05195001,80.22926829,56.31539154,1763,0.148916429,100,28.04,94.9085968,67.382
